uuid,name,description,local-name,local-description,class,datatype,shortname,is-set,reference-term-source,reference-term-code,reference-term-name,reference-term-relationship,units,high-normal,low-normal,member-of,member-of-sort-weight,answer-of,answer-of-sort-weight,,,,,,,,,,,,,,,,,,,,,,,
,"Septicemia due to streptococcus, group B",,,,,,,,ICD10-BD,A40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Septicemia due to streptococcus, group D",,,,,,,,ICD10-BD,A40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Septicemia due to Streptococcus pneumoniae,,,,,,,,ICD10-BD,A40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other streptococcal septicemia,,,,,,,,ICD10-BD,A40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Streptococcal septicemia, unspecified",,,,,,,,ICD10-BD,A40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other septicemia,,,,,,,,ICD10-BD,A41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Septicemia due to Staphylococcus aureus,,,,,,,,ICD10-BD,A41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Septicemia due to other specified staphylococcus,,,,,,,,ICD10-BD,A41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Septicemia due to unspecified staphylococcus,,,,,,,,ICD10-BD,A41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Septicemia due to Hemophilus influenzae,,,,,,,,ICD10-BD,A41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Septicemia due to anaerobes,,,,,,,,ICD10-BD,A41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Septicemia due to other Gram‑negative organisms,,,,,,,,ICD10-BD,A41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other specified septicemia,,,,,,,,ICD10-BD,A41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Septicemia, unspecified",,,,,,,,ICD10-BD,A41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actinomycosis,,,,,,,,ICD10-BD,A42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pulmonary actinomycosis,,,,,,,,ICD10-BD,A42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abdominal actinomycosis,,,,,,,,ICD10-BD,A42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cervicofacial actinomycosis,,,,,,,,ICD10-BD,A42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actinomycotic septicemia,,,,,,,,ICD10-BD,A42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other forms of actinomycosis,,,,,,,,ICD10-BD,A42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Actinomycosis, unspecified",,,,,,,,ICD10-BD,A42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nocardiosis,,,,,,,,ICD10-BD,A43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pulmonary nocardiosis,,,,,,,,ICD10-BD,A43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cutaneous nocardiosis,,,,,,,,ICD10-BD,A43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other forms of nocardiosis,,,,,,,,ICD10-BD,A43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nocardiosis, unspecified",,,,,,,,ICD10-BD,A43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bartonellosis,,,,,,,,ICD10-BD,A44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Systemic bartonellosis,,,,,,,,ICD10-BD,A44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cutaneous and mucocutaneous bartonellosis,,,,,,,,ICD10-BD,A44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other forms of bartonellosis,,,,,,,,ICD10-BD,A44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bartonellosis, unspecified",,,,,,,,ICD10-BD,A44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Erysipelas,,,,,,,,ICD10-BD,A46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Other bacterial diseases, not elsewhere classified",,,,,,,,ICD10-BD,A48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas gangrene,,,,,,,,ICD10-BD,A48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Legionnaires' disease,,,,,,,,ICD10-BD,A48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nonpneumonic Legionnaires' disease [Pontiac fever],,,,,,,,ICD10-BD,A48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toxic shock syndrome,,,,,,,,ICD10-BD,A48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brazilian purpuric fever,,,,,,,,ICD10-BD,A48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other specified bacterial diseases,,,,,,,,ICD10-BD,A48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bacterial infection of unspecified site,,,,,,,,ICD10-BD,A49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Staphylococcal infection, unspecified",,,,,,,,ICD10-BD,A49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Streptococcal infection, unspecified",,,,,,,,ICD10-BD,A49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hemophilus influenzae infection, unspecified",,,,,,,,ICD10-BD,A49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mycoplasma infection, unspecified",,,,,,,,ICD10-BD,A49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other bacterial infections of unspecified site,,,,,,,,ICD10-BD,A49.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bacterial infection, unspecified",,,,,,,,ICD10-BD,A49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Congenital syphilis,,সিফিলিস,,,,,,ICD10-BD,A50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Early congenital syphilis, symptomatic",,,,,,,,ICD10-BD,A50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Early congenital syphilis, latent",,,,,,,,ICD10-BD,A50.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Early congenital syphilis, unspecified",,,,,,,,ICD10-BD,A50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Late congenital syphilitic oculopathy,,,,,,,,ICD10-BD,A50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Late congenital neurosyphilis [juvenile neurosyphilis],,,,,,,,ICD10-BD,A50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Other late congenital syphilis, symptomatic",,,,,,,,ICD10-BD,A50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Late congenital syphilis, latent",,,,,,,,ICD10-BD,A50.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Late congenital syphilis, unspecified",,,,,,,,ICD10-BD,A50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Congenital syphilis, unspecified",,,,,,,,ICD10-BD,A50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Early syphilis,,,,,,,,ICD10-BD,A51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary genital syphilis,,,,,,,,ICD10-BD,A51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary anal syphilis,,,,,,,,ICD10-BD,A51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary syphilis of other sites,,,,,,,,ICD10-BD,A51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary syphilis of skin and mucous membranes,,,,,,,,ICD10-BD,A51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other secondary syphilis,,,,,,,,ICD10-BD,A51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Early syphilis, latent",,,,,,,,ICD10-BD,A51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Early syphilis, unspecified",,,,,,,,ICD10-BD,A51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Late syphilis,,,,,,,,ICD10-BD,A52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cardiovascular syphilis,,,,,,,,ICD10-BD,A52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Symptomatic neurosyphilis,,,,,,,,ICD10-BD,A52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asymptomatic neurosyphilis,,,,,,,,ICD10-BD,A52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Neurosyphilis, unspecified",,,,,,,,ICD10-BD,A52.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other symptomatic late syphilis,,,,,,,,ICD10-BD,A52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Late syphilis, latent",,,,,,,,ICD10-BD,A52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Late syphilis, unspecified",,,,,,,,ICD10-BD,A52.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other and unspecified syphilis,,,,,,,,ICD10-BD,A53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Latent syphilis, unspecified as early or late",,,,,,,,ICD10-BD,A53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Syphilis, unspecified",,,,,,,,ICD10-BD,A53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gonococcal infection,,গনোরিয়া,,,,,,ICD10-BD,A54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,,,,,,,,ICD10-BD,A54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,,,,,,,,ICD10-BD,A54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,,,,,,,,ICD10-BD,A54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gonococcal infection of eye,,,,,,,,ICD10-BD,A54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gonococcal infection of musculoskeletal system,,,,,,,,ICD10-BD,A54.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gonococcal pharyngitis,,,,,,,,ICD10-BD,A54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gonococcal infection of anus and rectum,,,,,,,,ICD10-BD,A54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other gonococcal infections,,,,,,,,ICD10-BD,A54.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gonococcal infection, unspecified",,,,,,,,ICD10-BD,A54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chlamydial lymphogranuloma (venereum),,,,,,,,ICD10-BD,A55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other sexually transmitted chlamydial diseases,,,,,,,,ICD10-BD,A56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chlamydial infection of lower genitourinary tract,,,,,,,,ICD10-BD,A56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chlamydial infection of pelviperitoneum and other genitourinary organs,,,,,,,,ICD10-BD,A56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chlamydial infection of genitourinary tract, unspecified",,,,,,,,ICD10-BD,A56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chlamydial infection of anus and rectum,,,,,,,,ICD10-BD,A56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chlamydial infection of pharynx,,,,,,,,ICD10-BD,A56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sexually transmitted chlamydial infection of other sites,,,,,,,,ICD10-BD,A56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chancroid,,,,,,,,ICD10-BD,A57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Granuloma inguinale,,,,,,,,ICD10-BD,A58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trichomoniasis,,,,,,,,ICD10-BD,A59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Urogenital trichomoniasis,,,,,,,,ICD10-BD,A59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trichomoniasis of other sites,,,,,,,,ICD10-BD,A59.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Trichomoniasis, unspecified",,,,,,,,ICD10-BD,A59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anogenital herpesviral [herpes simplex] infection,,,,,,,,ICD10-BD,A60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Herpesviral infection of genitalia and urogenital tract,,,,,,,,ICD10-BD,A60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Herpesviral infection of perianal skin and rectum,,,,,,,,ICD10-BD,A60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Anogenital herpesviral infection, unspecified",,,,,,,,ICD10-BD,A60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Other predominantly sexually transmitted diseases, not elsewhere classified",,,,,,,,ICD10-BD,A63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anogenital (venereal) warts,,,,,,,,ICD10-BD,A63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other specified predominantly sexually transmitted diseases,,,,,,,,ICD10-BD,A63.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unspecified sexually transmitted disease,,,,,,,,ICD10-BD,A64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nonvenereal syphilis,,,,,,,,ICD10-BD,A65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yaws,,,,,,,,ICD10-BD,A66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Initial lesions of yaws,,,,,,,,ICD10-BD,A66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Multiple papillomata and wet crab yaws,,,,,,,,ICD10-BD,A66.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other early skin lesions of yaws,,,,,,,,ICD10-BD,A66.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hyperkeratosis of yaws,,,,,,,,ICD10-BD,A66.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gummata and ulcers of yaws,,,,,,,,ICD10-BD,A66.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gangosa,,,,,,,,ICD10-BD,A66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bone and joint lesions of yaws,,,,,,,,ICD10-BD,A66.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other manifestations of yaws,,,,,,,,ICD10-BD,A66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Latent yaws,,,,,,,,ICD10-BD,A66.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yaws, unspecified",,,,,,,,ICD10-BD,A66.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pinta [carate],,,,,,,,ICD10-BD,A67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary lesions of pinta,,,,,,,,ICD10-BD,A67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intermediate lesions of pinta,,,,,,,,ICD10-BD,A67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Late lesions of pinta,,,,,,,,ICD10-BD,A67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mixed lesions of pinta,,,,,,,,ICD10-BD,A67.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Pinta, unspecified",,,,,,,,ICD10-BD,A67.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Relapsing fevers,,,,,,,,ICD10-BD,A68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Louse-borne relapsing fever,,,,,,,,ICD10-BD,A68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tick-borne relapsing fever,,,,,,,,ICD10-BD,A68.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Relapsing fever, unspecified",,,,,,,,ICD10-BD,A68.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other spirochetal infections,,,,,,,,ICD10-BD,A69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Necrotizing ulcerative stomatitis,,,,,,,,ICD10-BD,A69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other Vincent's infections,,,,,,,,ICD10-BD,A69.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lyme disease,,,,,,,,ICD10-BD,A69.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other specified spirochetal infections,,,,,,,,ICD10-BD,A69.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Spirochetal infection, unspecified",,,,,,,,ICD10-BD,A69.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chlamydia psittaci infection,,,,,,,,ICD10-BD,A70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trachoma,,,,,,,,ICD10-BD,A71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Initial stage of trachoma,,,,,,,,ICD10-BD,A71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Active stage of trachoma,,,,,,,,ICD10-BD,A71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Trachoma, unspecified",,,,,,,,ICD10-BD,A71.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other diseases caused by chlamydiae,,,,,,,,ICD10-BD,A74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chlamydial conjunctivitis,,,,,,,,ICD10-BD,A74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other chlamydial diseases,,,,,,,,ICD10-BD,A74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chlamydial infection, unspecified",,,,,,,,ICD10-BD,A74.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Typhus fever,,,,,,,,ICD10-BD,A75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Epidemic louse-borne typhus fever due to Rickettsia prowazekii,,,,,,,,ICD10-BD,A75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recrudescent typhus [Brill's disease],,,,,,,,ICD10-BD,A75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Typhus fever due to Rickettsia typhi,,,,,,,,ICD10-BD,A75.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Typhus fever due to Rickettsia tsutsugamushi,,,,,,,,ICD10-BD,A75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Typhus fever, unspecified",,,,,,,,ICD10-BD,A75.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spotted fever [tick-borne rickettsioses],,,,,,,,ICD10-BD,A77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spotted fever due to Rickettsia rickettsii,,,,,,,,ICD10-BD,A77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spotted fever due to Rickettsia conorii,,,,,,,,ICD10-BD,A77.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spotted fever due to Rickettsia sibirica,,,,,,,,ICD10-BD,A77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spotted fever due to Rickettsia australis,,,,,,,,ICD10-BD,A77.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other spotted fevers,,,,,,,,ICD10-BD,A77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Spotted fever, unspecified",,,,,,,,ICD10-BD,A77.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q fever,,,,,,,,ICD10-BD,A78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other rickettsioses,,,,,,,,ICD10-BD,A79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trench fever,,,,,,,,ICD10-BD,A79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rickettsialpox due to Rickettsia akari,,,,,,,,ICD10-BD,A79.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other specified rickettsioses,,,,,,,,ICD10-BD,A79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Rickettsiosis, unspecified",,,,,,,,ICD10-BD,A79.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acute poliomyelitis,,পোলিও,,,,,,ICD10-BD,A80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Acute paralytic poliomyelitis, vaccine-associated",,,,,,,,ICD10-BD,A80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Acute paralytic poliomyelitis, wild virus, imported",,,,,,,,ICD10-BD,A80.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Acute paralytic poliomyelitis, wild virus, indigenous",,,,,,,,ICD10-BD,A80.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Acute paralytic poliomyelitis, other and unspecified",,,,,,,,ICD10-BD,A80.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acute nonparalytic poliomyelitis,,,,,,,,ICD10-BD,A80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Acute poliomyelitis, unspecified",,,,,,,,ICD10-BD,A80.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Atypical virus infections of central nervous system,,,,,,,,ICD10-BD,A81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Creutzfeldt-Jakob disease,,,,,,,,ICD10-BD,A81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subacute sclerosing panencephalitis,,,,,,,,ICD10-BD,A81.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Progressive multifocal leukoencephalopathy,,,,,,,,ICD10-BD,A81.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other atypical virus infections of central nervous system,,,,,,,,ICD10-BD,A81.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Atypical virus infection of central nervous system, unspecified",,,,,,,,ICD10-BD,A81.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rabies,,জলাতংক,,,,,,ICD10-BD,A82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sylvatic rabies,,,,,,,,ICD10-BD,A82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Urban rabies,,,,,,,,ICD10-BD,A82.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Rabies, unspecified",,,,,,,,ICD10-BD,A82.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mosquito-borne viral encephalitis,,,,,,,,ICD10-BD,A83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Japanese encephalitis,,,,,,,,ICD10-BD,A83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Western equine encephalitis,,,,,,,,ICD10-BD,A83.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eastern equine encephalitis,,,,,,,,ICD10-BD,A83.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,St. Louis encephalitis,,,,,,,,ICD10-BD,A83.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Australian encephalitis,,,,,,,,ICD10-BD,A83.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,California encephalitis,,,,,,,,ICD10-BD,A83.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rocio virus disease,,,,,,,,ICD10-BD,A83.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other mosquito-borne viral encephalitis,,,,,,,,ICD10-BD,A83.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mosquito-borne viral encephalitis, unspecified",,,,,,,,ICD10-BD,A83.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tick-borne viral encephalitis,,,,,,,,ICD10-BD,A84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],,,,,,,,ICD10-BD,A84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Central European tick-borne encephalitis,,,,,,,,ICD10-BD,A84.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other tick-borne viral encephalitis,,,,,,,,ICD10-BD,A84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tick-borne viral encephalitis, unspecified",,,,,,,,ICD10-BD,A84.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Other viral encephalitis, not elsewhere classified",,,,,,,,ICD10-BD,A85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enteroviral encephalitis,,,,,,,,ICD10-BD,A85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adenoviral encephalitis,,,,,,,,ICD10-BD,A85.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Arthropod-borne viral encephalitis, unspecified",,,,,,,,ICD10-BD,A85.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other specified viral encephalitis,,,,,,,,ICD10-BD,A85.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unspecified viral encephalitis,,,,,,,,ICD10-BD,A86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Viral meningitis,,,,,,,,ICD10-BD,A87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enteroviral meningitis,,,,,,,,ICD10-BD,A87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adenoviral meningitis,,,,,,,,ICD10-BD,A87.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lymphocytic choriomeningitis,,,,,,,,ICD10-BD,A87.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other viral meningitis,,,,,,,,ICD10-BD,A87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
